Countries Code,Countries,Age (17 categories) Code,Age (17 categories),Sex (2 categories) Code,Sex (2 categories),Ethnic group (6 categories) Code,Ethnic group (6 categories),Economic activity status (10 categories) Code,Economic activity status (10 categories),Observation
E92000001,England,1,Aged 15 years and under,1,Female,5,Other ethnic group,9,Economically inactive: Other,0
E92000001,England,1,Aged 15 years and under,2,Male,-8,Does not apply,-8,Does not apply,0
E92000001,England,1,Aged 15 years and under,2,Male,-8,Does not apply,1,Economically active (excluding full-time students): In employment,0
E92000001,England,1,Aged 15 years and under,2,Male,-8,Does not apply,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E92000001,England,1,Aged 15 years and under,2,Male,-8,Does not apply,3,Economically active and a full-time student: In employment,0
E92000001,England,1,Aged 15 years and under,2,Male,-8,Does not apply,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E92000001,England,1,Aged 15 years and under,2,Male,-8,Does not apply,5,Economically inactive: Retired,0
E92000001,England,1,Aged 15 years and under,2,Male,-8,Does not apply,6,Economically inactive: Student,0
E92000001,England,1,Aged 15 years and under,2,Male,-8,Does not apply,7,Economically inactive: Looking after home or family,0
E92000001,England,1,Aged 15 years and under,2,Male,-8,Does not apply,8,Economically inactive: Long-term sick or disabled,0
E92000001,England,1,Aged 15 years and under,2,Male,-8,Does not apply,9,Economically inactive: Other,0
E92000001,England,1,Aged 15 years and under,2,Male,1,"Asian, Asian British or Asian Welsh",-8,Does not apply,656246
E92000001,England,1,Aged 15 years and under,2,Male,1,"Asian, Asian British or Asian Welsh",1,Economically active (excluding full-time students): In employment,0
E92000001,England,1,Aged 15 years and under,2,Male,1,"Asian, Asian British or Asian Welsh",2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E92000001,England,1,Aged 15 years and under,2,Male,1,"Asian, Asian British or Asian Welsh",3,Economically active and a full-time student: In employment,0
E92000001,England,1,Aged 15 years and under,2,Male,1,"Asian, Asian British or Asian Welsh",4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E92000001,England,1,Aged 15 years and under,2,Male,1,"Asian, Asian British or Asian Welsh",5,Economically inactive: Retired,0
E92000001,England,1,Aged 15 years and under,2,Male,1,"Asian, Asian British or Asian Welsh",6,Economically inactive: Student,0
E92000001,England,1,Aged 15 years and under,2,Male,1,"Asian, Asian British or Asian Welsh",7,Economically inactive: Looking after home or family,0
E92000001,England,1,Aged 15 years and under,2,Male,1,"Asian, Asian British or Asian Welsh",8,Economically inactive: Long-term sick or disabled,0
E92000001,England,1,Aged 15 years and under,2,Male,1,"Asian, Asian British or Asian Welsh",9,Economically inactive: Other,0
E92000001,England,1,Aged 15 years and under,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",-8,Does not apply,296132
E92000001,England,1,Aged 15 years and under,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",1,Economically active (excluding full-time students): In employment,0
E92000001,England,1,Aged 15 years and under,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E92000001,England,1,Aged 15 years and under,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",3,Economically active and a full-time student: In employment,0
E92000001,England,1,Aged 15 years and under,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E92000001,England,1,Aged 15 years and under,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",5,Economically inactive: Retired,0
E92000001,England,1,Aged 15 years and under,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",6,Economically inactive: Student,0
E92000001,England,1,Aged 15 years and under,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",7,Economically inactive: Looking after home or family,0
E92000001,England,1,Aged 15 years and under,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",8,Economically inactive: Long-term sick or disabled,0
E92000001,England,1,Aged 15 years and under,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",9,Economically inactive: Other,0
E92000001,England,1,Aged 15 years and under,2,Male,3,Mixed or Multiple ethnic groups,-8,Does not apply,371763
E92000001,England,1,Aged 15 years and under,2,Male,3,Mixed or Multiple ethnic groups,1,Economically active (excluding full-time students): In employment,0
E92000001,England,1,Aged 15 years and under,2,Male,3,Mixed or Multiple ethnic groups,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E92000001,England,1,Aged 15 years and under,2,Male,3,Mixed or Multiple ethnic groups,3,Economically active and a full-time student: In employment,0
E92000001,England,1,Aged 15 years and under,2,Male,3,Mixed or Multiple ethnic groups,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E92000001,England,1,Aged 15 years and under,2,Male,3,Mixed or Multiple ethnic groups,5,Economically inactive: Retired,0
E92000001,England,1,Aged 15 years and under,2,Male,3,Mixed or Multiple ethnic groups,6,Economically inactive: Student,0
E92000001,England,1,Aged 15 years and under,2,Male,3,Mixed or Multiple ethnic groups,7,Economically inactive: Looking after home or family,0
E92000001,England,1,Aged 15 years and under,2,Male,3,Mixed or Multiple ethnic groups,8,Economically inactive: Long-term sick or disabled,0
E92000001,England,1,Aged 15 years and under,2,Male,3,Mixed or Multiple ethnic groups,9,Economically inactive: Other,0
E92000001,England,1,Aged 15 years and under,2,Male,4,White,-8,Does not apply,3883040
E92000001,England,1,Aged 15 years and under,2,Male,4,White,1,Economically active (excluding full-time students): In employment,0
E92000001,England,1,Aged 15 years and under,2,Male,4,White,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E92000001,England,1,Aged 15 years and under,2,Male,4,White,3,Economically active and a full-time student: In employment,0
E92000001,England,1,Aged 15 years and under,2,Male,4,White,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E92000001,England,1,Aged 15 years and under,2,Male,4,White,5,Economically inactive: Retired,0
E92000001,England,1,Aged 15 years and under,2,Male,4,White,6,Economically inactive: Student,0
E92000001,England,1,Aged 15 years and under,2,Male,4,White,7,Economically inactive: Looking after home or family,0
E92000001,England,1,Aged 15 years and under,2,Male,4,White,8,Economically inactive: Long-term sick or disabled,0
E92000001,England,1,Aged 15 years and under,2,Male,4,White,9,Economically inactive: Other,0
E92000001,England,1,Aged 15 years and under,2,Male,5,Other ethnic group,-8,Does not apply,142927
E92000001,England,1,Aged 15 years and under,2,Male,5,Other ethnic group,1,Economically active (excluding full-time students): In employment,0
E92000001,England,1,Aged 15 years and under,2,Male,5,Other ethnic group,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E92000001,England,1,Aged 15 years and under,2,Male,5,Other ethnic group,3,Economically active and a full-time student: In employment,0
E92000001,England,1,Aged 15 years and under,2,Male,5,Other ethnic group,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E92000001,England,1,Aged 15 years and under,2,Male,5,Other ethnic group,5,Economically inactive: Retired,0
E92000001,England,1,Aged 15 years and under,2,Male,5,Other ethnic group,6,Economically inactive: Student,0
E92000001,England,1,Aged 15 years and under,2,Male,5,Other ethnic group,7,Economically inactive: Looking after home or family,0
E92000001,England,1,Aged 15 years and under,2,Male,5,Other ethnic group,8,Economically inactive: Long-term sick or disabled,0
E92000001,England,1,Aged 15 years and under,2,Male,5,Other ethnic group,9,Economically inactive: Other,0
E92000001,England,2,Aged 16 to 17 years,1,Female,-8,Does not apply,-8,Does not apply,0
E92000001,England,2,Aged 16 to 17 years,1,Female,-8,Does not apply,1,Economically active (excluding full-time students): In employment,0
E92000001,England,2,Aged 16 to 17 years,1,Female,-8,Does not apply,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E92000001,England,2,Aged 16 to 17 years,1,Female,-8,Does not apply,3,Economically active and a full-time student: In employment,0
E92000001,England,2,Aged 16 to 17 years,1,Female,-8,Does not apply,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E92000001,England,2,Aged 16 to 17 years,1,Female,-8,Does not apply,5,Economically inactive: Retired,0
E92000001,England,2,Aged 16 to 17 years,1,Female,-8,Does not apply,6,Economically inactive: Student,0
E92000001,England,2,Aged 16 to 17 years,1,Female,-8,Does not apply,7,Economically inactive: Looking after home or family,0
E92000001,England,2,Aged 16 to 17 years,1,Female,-8,Does not apply,8,Economically inactive: Long-term sick or disabled,0
E92000001,England,2,Aged 16 to 17 years,1,Female,-8,Does not apply,9,Economically inactive: Other,0
E92000001,England,2,Aged 16 to 17 years,1,Female,1,"Asian, Asian British or Asian Welsh",-8,Does not apply,0
E92000001,England,2,Aged 16 to 17 years,1,Female,1,"Asian, Asian British or Asian Welsh",1,Economically active (excluding full-time students): In employment,320
E92000001,England,2,Aged 16 to 17 years,1,Female,1,"Asian, Asian British or Asian Welsh",2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,164
E92000001,England,2,Aged 16 to 17 years,1,Female,1,"Asian, Asian British or Asian Welsh",3,Economically active and a full-time student: In employment,2825
E92000001,England,2,Aged 16 to 17 years,1,Female,1,"Asian, Asian British or Asian Welsh",4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,3077
E92000001,England,2,Aged 16 to 17 years,1,Female,1,"Asian, Asian British or Asian Welsh",5,Economically inactive: Retired,6
E92000001,England,2,Aged 16 to 17 years,1,Female,1,"Asian, Asian British or Asian Welsh",6,Economically inactive: Student,67386
E92000001,England,2,Aged 16 to 17 years,1,Female,1,"Asian, Asian British or Asian Welsh",7,Economically inactive: Looking after home or family,133
E92000001,England,2,Aged 16 to 17 years,1,Female,1,"Asian, Asian British or Asian Welsh",8,Economically inactive: Long-term sick or disabled,35
E92000001,England,2,Aged 16 to 17 years,1,Female,1,"Asian, Asian British or Asian Welsh",9,Economically inactive: Other,485
E92000001,England,2,Aged 16 to 17 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",-8,Does not apply,0
E92000001,England,2,Aged 16 to 17 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",1,Economically active (excluding full-time students): In employment,127
E92000001,England,2,Aged 16 to 17 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,126
E92000001,England,2,Aged 16 to 17 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",3,Economically active and a full-time student: In employment,1558
E92000001,England,2,Aged 16 to 17 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,3030
E92000001,England,2,Aged 16 to 17 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",5,Economically inactive: Retired,3
E92000001,England,2,Aged 16 to 17 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",6,Economically inactive: Student,34070
E92000001,England,2,Aged 16 to 17 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",7,Economically inactive: Looking after home or family,36
E92000001,England,2,Aged 16 to 17 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",8,Economically inactive: Long-term sick or disabled,28
E92000001,England,2,Aged 16 to 17 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",9,Economically inactive: Other,194
E92000001,England,2,Aged 16 to 17 years,1,Female,3,Mixed or Multiple ethnic groups,-8,Does not apply,0
