Lower tier local authorities Code,Lower tier local authorities,Age (17 categories) Code,Age (17 categories),Ethnic group (6 categories) Code,Ethnic group (6 categories),Economic activity status (10 categories) Code,Economic activity status (10 categories),Observation
E06000014,York,1,Aged 15 years and under,-8,Does not apply,-8,Does not apply,0
E06000014,York,1,Aged 15 years and under,-8,Does not apply,1,Economically active (excluding full-time students): In employment,0
E06000014,York,1,Aged 15 years and under,-8,Does not apply,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E06000014,York,1,Aged 15 years and under,-8,Does not apply,3,Economically active and a full-time student: In employment,0
E06000014,York,1,Aged 15 years and under,-8,Does not apply,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E06000014,York,1,Aged 15 years and under,-8,Does not apply,5,Economically inactive: Retired,0
E06000014,York,1,Aged 15 years and under,-8,Does not apply,6,Economically inactive: Student,0
E06000014,York,1,Aged 15 years and under,-8,Does not apply,7,Economically inactive: Looking after home or family,0
E06000014,York,1,Aged 15 years and under,-8,Does not apply,8,Economically inactive: Long-term sick or disabled,0
E06000014,York,1,Aged 15 years and under,-8,Does not apply,9,Economically inactive: Other,0
E06000014,York,1,Aged 15 years and under,1,"Asian, Asian British or Asian Welsh",-8,Does not apply,964
E06000014,York,1,Aged 15 years and under,1,"Asian, Asian British or Asian Welsh",1,Economically active (excluding full-time students): In employment,0
E06000014,York,1,Aged 15 years and under,1,"Asian, Asian British or Asian Welsh",2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E06000014,York,1,Aged 15 years and under,1,"Asian, Asian British or Asian Welsh",3,Economically active and a full-time student: In employment,0
E06000014,York,1,Aged 15 years and under,1,"Asian, Asian British or Asian Welsh",4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E06000014,York,1,Aged 15 years and under,1,"Asian, Asian British or Asian Welsh",5,Economically inactive: Retired,0
E06000014,York,1,Aged 15 years and under,1,"Asian, Asian British or Asian Welsh",6,Economically inactive: Student,0
E06000014,York,1,Aged 15 years and under,1,"Asian, Asian British or Asian Welsh",7,Economically inactive: Looking after home or family,0
E06000014,York,1,Aged 15 years and under,1,"Asian, Asian British or Asian Welsh",8,Economically inactive: Long-term sick or disabled,0
E06000014,York,1,Aged 15 years and under,1,"Asian, Asian British or Asian Welsh",9,Economically inactive: Other,0
E06000014,York,1,Aged 15 years and under,2,"Black, Black British, Black Welsh, Caribbean or African",-8,Does not apply,200
E06000014,York,1,Aged 15 years and under,2,"Black, Black British, Black Welsh, Caribbean or African",1,Economically active (excluding full-time students): In employment,0
E06000014,York,1,Aged 15 years and under,2,"Black, Black British, Black Welsh, Caribbean or African",2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E06000014,York,1,Aged 15 years and under,2,"Black, Black British, Black Welsh, Caribbean or African",3,Economically active and a full-time student: In employment,0
E06000014,York,1,Aged 15 years and under,2,"Black, Black British, Black Welsh, Caribbean or African",4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E06000014,York,1,Aged 15 years and under,2,"Black, Black British, Black Welsh, Caribbean or African",5,Economically inactive: Retired,0
E06000014,York,1,Aged 15 years and under,2,"Black, Black British, Black Welsh, Caribbean or African",6,Economically inactive: Student,0
E06000014,York,1,Aged 15 years and under,2,"Black, Black British, Black Welsh, Caribbean or African",7,Economically inactive: Looking after home or family,0
E06000014,York,1,Aged 15 years and under,2,"Black, Black British, Black Welsh, Caribbean or African",8,Economically inactive: Long-term sick or disabled,0
E06000014,York,1,Aged 15 years and under,2,"Black, Black British, Black Welsh, Caribbean or African",9,Economically inactive: Other,0
E06000014,York,1,Aged 15 years and under,3,Mixed or Multiple ethnic groups,-8,Does not apply,1323
E06000014,York,1,Aged 15 years and under,3,Mixed or Multiple ethnic groups,1,Economically active (excluding full-time students): In employment,0
E06000014,York,1,Aged 15 years and under,3,Mixed or Multiple ethnic groups,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E06000014,York,1,Aged 15 years and under,3,Mixed or Multiple ethnic groups,3,Economically active and a full-time student: In employment,0
E06000014,York,1,Aged 15 years and under,3,Mixed or Multiple ethnic groups,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E06000014,York,1,Aged 15 years and under,3,Mixed or Multiple ethnic groups,5,Economically inactive: Retired,0
